SEMANA,FECHA DE PROCESO,CODIGO,EAN,LÍNEA PRODUCCION,"DESCRIPCIÓN
ARTÍCULO",KILOGRAMOS EN PIE,KILOGRAMOS PROCESADOS,CANTIDAD DE CERDOS,UNIDADES CON DEFECTOS PROCESO,DEFECTOS PROCESO,UNIDADES CON DEFECTOS GRANJA,DEFECTOS GRANJA,ESTÁNDAR,RENDIMIENTO DE LÍNEA,PESO PROMEDIO EN PIE,PESO PROMEDIO PROCESADO,%CALIDAD,CANTIDAD DE PERSONAL,HORA DE INICIO,HORA DE FIN,HORA DE INICIO PARA,HORA DE FIN PARA,MOTIVOS DE PARADAS,HORAS DE PARAS NO PLANIFICADAS,HORAS DE PARAS PLANIFICADAS,HORAS PROGRAMADAS,HORAS PRODUCTIVAS,VARIACIÓN DE HORAS EN PRODUCCIÓN,UNIDADES/HORA,KILOS/HORA/HOMBRE,%DISPONIBILIDAD,%RENDIMIENTO,OEE
35,24/8/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"18697,2","15472,3",162,1,RABOS Y COLUMNAS FRACTURADAS,,,40,"82,75%","115,4148148","95,50802469","0,9938271605",28,8:45,15:02,,,,,1,"4,05","5,28","1,23",31,"104,59","69,55%","76,66%","52,98%"
35,25/8/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6904,9","5153,153",60,2,RABOS Y COLUMNAS FRACTURADAS,,,42,"74,63%","115,0816667","85,88588333","0,9666666667",29,7:00,9:00,,,,,,"1,428571429","2,00","0,57",30,"88,85","60,00%","71,43%","41,43%"
35,25/8/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"25483,1","20665,5",230,7,RABOS Y COLUMNAS FRACTURADAS,,,40,"81,09%","110,796087","89,85","0,9695652174",29,8:25,16:00,,,,,,"5,75","7,58","1,83",30,"93,97","68,12%","75,82%","50,08%"
35,26/8/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6872,05","5151,55",60,2,RABOS Y COLUMNAS FRACTURADAS,,,42,"74,96%","114,5341667","85,85916667","0,9666666667",29,7:00,9:25,,,,,,"1,428571429","2,42","0,99",25,"73,51","30,83%","59,11%","17,62%"
35,26/8/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"21037,05","17183,8",180,7,RABOS Y COLUMNAS FRACTURADAS,,,40,"81,68%","116,8725","95,46555556","0,9611111111",29,9:15,15:40,8:45,9:13,MECANICO,,1,"4,5","5,42","0,92",33,"109,39","79,63%","83,08%","63,58%"
35,27/8/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"23303,2","18599,8",205,5,RABOS Y COLUMNAS FRACTURADAS,,,40,"79,82%","113,6741463","90,73073171","0,9756097561",28,7:00,14:40,,,,,1,"5,125","6,67","1,54",31,"99,64","69,92%","76,88%","52,44%"
35,27/8/2026,PPRO000209,,REPRODUCTORA,PP CANAL CERDO EVISCERADO REPRODUCTOR/A,"3344,5","2534,05",14,, ,,,10,"75,77%","238,8928571","181,0035714",1,28,14:10,16:10,,,,,,"1,4","2,00","0,60",7,"45,25","57,14%","70,00%","40,00%"
35,28/8/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"29412,5","23975,4",240,1,RABOS Y COLUMNAS FRACTURADAS,,,40,"81,51%","122,5520833","99,8975","0,9958333333",29,7:05,15:10,,,,,1,6,"7,08","1,08",34,"116,72","81,94%","84,71%","69,12%"
36,31/8/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"28333,9","23279,1",240,9,RABOS Y COLUMNAS FRACTURADAS,,,40,"82,16%","118,0579167","96,99625","0,9625",27,8:30,17:20,7:50,8:30,MECANICO,,1,6,"7,83","1,83",31,"110,07","69,44%","76,60%","51,20%"
36,1/9/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6980,15","5317,3",60,5,RABOS Y COLUMNAS FRACTURADAS,,,42,"76,18%","116,3358333","88,62166667","0,9166666667",27,8:00,10:25,,,,,,"1,428571429","2,42","0,99",25,"81,49","30,83%","59,11%","16,71%"
